audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,mean_recall,std_recall,mean_noise,std_noise,mean_pruned,std_pruned,mean_recall_delta_vs_random,mean_recall_delta_vs_uniform,n_videos
0.7,300,0.15,30,10,40,18.15,24.27,44.66,37.02,81.23,20.36,2.83,2.44,32
0.7,350,0.15,30,10,40,18.15,24.27,41.54,36.43,81.33,20.45,2.83,2.22,32
0.7,300,0.1,30,10,40,17.88,24.25,51.18,39.13,81.23,20.36,-0.7,0.61,32
0.7,350,0.1,30,10,40,17.88,24.25,48.05,39.1,81.33,20.45,-0.7,0.61,32
0.7,150,0.15,20,5,25,16.06,21.78,55.92,38.4,84.31,17.06,1.54,-1.58,32
0.8,150,0.05,45,15,60,15.62,24.0,59.54,41.01,82.84,19.53,-4.69,-6.25,32
0.7,150,0.1,20,5,25,15.45,21.91,61.8,40.89,84.31,17.06,-1.82,-4.12,32
0.7,200,0.15,20,5,25,15.17,20.32,52.42,38.61,85.64,14.7,1.1,-1.58,32
0.8,150,0.1,45,15,60,15.01,19.21,47.08,36.97,82.84,19.53,-4.65,-3.68,32
0.7,150,0.05,20,5,25,14.84,22.41,69.42,41.08,84.31,17.06,-1.56,-5.47,32
0.8,200,0.05,45,15,60,14.84,22.41,55.67,41.6,83.74,17.76,-5.47,-8.59,32
0.8,200,0.1,45,15,60,14.32,17.22,43.32,36.43,83.74,17.76,-5.34,-5.77,32
0.7,250,0.15,20,5,25,14.27,20.02,52.27,38.63,86.0,14.75,0.65,-2.92,32
0.7,150,0.15,15,5,20,14.2,18.14,58.36,38.94,87.01,14.43,2.3,-1.21,32
0.8,150,0.15,45,15,60,14.12,19.7,42.96,37.05,82.84,19.53,-1.38,-3.68,32
0.7,150,0.05,15,5,20,14.06,20.67,69.98,41.24,87.01,14.43,0.78,-3.12,32
0.7,150,0.1,15,5,20,14.06,18.73,63.12,41.22,87.01,14.43,-0.04,-2.51,32
0.7,200,0.1,20,5,25,14.06,19.93,58.73,41.68,85.64,14.7,-2.86,-3.77,32
0.7,200,0.15,15,5,20,13.53,17.45,55.02,39.38,88.09,12.38,2.08,-0.32,32
0.8,200,0.15,45,15,60,13.44,17.76,39.65,35.86,83.74,17.76,-2.05,-4.8,32
0.7,250,0.1,20,5,25,13.36,20.02,59.06,42.18,86.0,14.75,-3.21,-5.51,32
0.7,300,0.15,20,5,25,13.36,20.01,52.51,38.98,86.71,14.49,-0.26,-2.91,32
0.7,200,0.05,20,5,25,13.28,21.64,66.45,42.53,85.64,14.7,-2.34,-5.47,32
0.7,250,0.05,20,5,25,13.28,21.64,66.29,42.48,86.0,14.75,-2.34,-7.03,32
0.7,300,0.05,20,5,25,13.28,21.64,66.03,42.46,86.71,14.49,-2.34,-8.59,32
0.7,350,0.05,20,5,25,13.28,21.64,66.03,42.46,86.99,14.52,-2.34,-7.03,32
0.8,250,0.05,45,15,60,13.28,21.64,54.63,42.75,84.63,16.69,-7.03,-7.03,32
0.8,250,0.1,45,15,60,13.27,16.11,42.02,37.09,84.63,16.69,-6.39,-5.08,32
0.7,350,0.15,20,5,25,13.13,20.04,52.72,39.03,86.99,14.52,-0.49,-2.63,32
0.7,200,0.1,15,5,20,13.02,17.93,60.07,42.17,88.09,12.38,-0.74,-2.16,32
0.7,250,0.15,15,5,20,12.86,17.37,55.0,39.54,88.45,12.31,1.63,-1.62,32
0.7,300,0.1,20,5,25,12.67,19.9,59.53,42.14,86.71,14.49,-3.9,-5.51,32
0.8,250,0.15,45,15,60,12.55,16.59,38.34,36.4,84.63,16.69,-2.94,-4.8,32
0.7,200,0.05,15,5,20,12.5,19.76,67.08,42.77,88.09,12.38,0.0,-3.12,32
0.7,250,0.05,15,5,20,12.5,19.76,66.87,42.71,88.45,12.31,0.0,-4.69,32
0.7,300,0.05,15,5,20,12.5,19.76,66.61,42.69,89.12,12.08,0.0,-3.91,32
0.7,350,0.05,15,5,20,12.5,19.76,66.61,42.69,89.3,12.1,0.0,-1.56,32
0.8,300,0.05,45,15,60,12.5,21.65,55.67,43.43,85.89,16.36,-7.03,-7.81,32
0.8,350,0.05,45,15,60,12.5,21.65,52.55,43.73,86.09,16.49,-7.03,-7.81,32
0.7,250,0.1,15,5,20,12.32,17.99,60.31,42.6,88.45,12.31,-1.43,-4.24,32
0.7,350,0.1,20,5,25,12.32,20.02,60.15,42.59,86.99,14.52,-4.25,-5.16,32
